Dragon Stout, 6.8
Edison Light, 4.0
Foster's Lager, 5.1
Fuller's ESB, 5.9		
Fuller's London Pride, 4.7
Genesee/High Falls Genesee 12 Horse, 4.8
Genesee/High Falls Genny Light, 3.6
Genesee/High Falls Kipling Light Lager, 3.4
Grolsch, 5.0
Gordon Biersch Märzen, 5.7		
Gordon Biersch Blonde Bock, 7.0		
Gordon Biersch Pilsner, 5.3		
Guinness Draught, 4.0
Guinness Foreign Extra Stout, 7.5
Hamm's, 4.7
Hamm's Light, 4.1
Heineken, 5.4
Heineken Light, 3.5
Henry Weinhard's Amber Ale, 5.3
Henry Weinhard's Dark, 4.8
Henry Weinhard's Hefeweizen, 4.9
Henry Weinhard's Private Reserve, 4.5
Hoegaarden, 5.0		
I.C. Light, 4.2
Icehouse 5.0, 5.0
Icehouse 5.5, 5.5
J.W. Dundee Honey Brown, 4.5
Keystone Light, 4.2
Kilarney's Red Lager, 5.0
Killian's, 4.9
Labatt Blue, 5.0
Lowenbrau, 5.2
Marin Brewing Mt. Tam Pale Ale, 5.0		
Marin Brewing Bluebeery Ale, 5.0		
Marin Brewing Albion Amber, 5.0		
Marin Brewing Marin Weiss, 5.0		
Marin Brewing Point Reyes Porter, 6.0		
Marin Brewing Breakout Stout, 6.0		
Marin Brewing Old Dipsea Barleywine, 9.0		
Marin Brewing India Pale Ale, 6.0		
McMenamins Hammerhead, 5.8
McMenamins Terminator, 6.4		
McMenamins Ruby, 4.1		
McMenamins Black Rabbit Porter, 5.5		
McMenamins Dry Irish Stout, 4.6		
Michelob, 5.0
Michelob Light, 4.3
Michelob Amber Bock, 5.2
Michelob Hefeweizen, 5.0
Michelob Honey Lager, 4.9
Michelob Black & Tan, 5.0
Michelob Ultra, 4.2
Mickey's, 5.6
Mickey's Ice, 5.9
Miller Genuine Draft, 5
Miller Genuine Draft Lite, 4.2
Miller High Life, 5.5
Miller Lite, 4.2
Moosehead, 5.0
Murphy's Irish Red, 5.0
Murphy's Stout, 4.0
O'Douls, 0.4
O'Douls Amber, 0.4
Odell's 90 Shilling, 5.3		
Odell's Easy Street Wheat, 4.7		
Odell's Cutthroat Porter, 4.5		
Odell's Cutthroat Pale Ale, 5.1		
Odell's Levity, 5.0		
Odell's Isolation, 6.0		
Odell's Bobby, 4.6		
Olde English 800, 5.9
Olde English 800 Ice, 7.9
Old Milwaukee, 5.0
Pabst, 5.0
Paulaner Original Munich, 5.5		
Paulaner Salvator, 7.5
Paulaner Hefe-Weizen, 5.5		
Pete's Wicked Ale, 5.3
Pete's Oktoberfest, 5.8
Pete's Summer Brew, 4.7
Pete's Winter Brew, 5.2
Pete's Helles Lager, 5.0
Pete's Red Rush, 5.3
Pete's Strawberry Blonde, 5.0
Pilsner Uruqell, 4.3
Pittsburgh Brewing I.C. Light, 4.1
Pittsburgh Brewing Iron City Lager, 4.5
Pyramid Hefeweizen, 5.2		
Pyramid Coastline Pilsner, 5.0		
Pyramid Apricot Ale, 5.1
Pyramid India Pale Ale, 6.7		
Pyramid Pale Ale, 5.1	
Pyramid Curve Ball Kolsch, 4.8		
Pyramid Broken Rake, 6.4
Pyramid Tilted Kilt, 6.3
Pyramid Snow Cap Ale, 7.0
Red Dog, 5.0
Redhook ESB, 5.8
Redhook IPA, 6.5
Redhook Blonde Ale, 5.4
Redhook Hefe-weizen, 5.2
Redhook Nut Brown, 5.6
Rhinebecker, 5
St. Pauli Girl, 4.9
St. Pauli Girl Dark, 4.8
St. Pauli Girl N.A., 0.5
Sam Adams Light, 4.05
Sam Adams Boston Lager, 4.8
Sam Adams Golden Pilsner, 4.6
Sam Adams Cream Stout, 4.7
Sam Adams Boston Ale, 4.9
Sam Adams Cherry Wheat, 5.2
Sam Adams Spring Ale, 5.2
Sam Adams Summer Ale, 5.4
Sam Adams Pale Ale, 5.3
Sam Adams Octoberfest, 5.7
Sam Adams IPA, 5.9
Sam Adams Winter Lager, 5.8
Sam Adams Double Bock, 8.5
Sam Adams Triple Bock, 17.5
Sapporo Reserve, 5.2		
Shiner Bock, 4.4
Shiner Light, 3.9
Sierra Nevada Pale Ale, 5.7
Sierra Nevada Porter, 5.7
Sierra Nevada Stout, 6.4
Sierra Nevada Wheat, 4.7
Sierra Nevada Summerfest, 4.9
Sierra Nevada Celebration, 6.6
Sierra Nevada Bigfoot, 9.9
Stone Brewing Arrogant Bastard Ale, 7.2		
Stone Pale Ale, 5.4
Stone Smoked Porter, 5.9		
Stone IPA, 6.9
Stone Brewing Ruination IPA, 7.7		
Stone Brewing Double Bastard Ale, 10		
Stone Old Guardian, 9.9
Tsingtao, 4.7
Widmer Hefeweizen, 4.7
Widmer Pale Ale, 5.0
Widmer Blonde Ale, 4.3
Widmer Widberry, 4.6
Widmer Sommerbra, 4.8
Widmer Oktoberfest, 5.0
Widmer Winternacht, 7.0
Widmer Spring Run IPA, 6.0
Widmer Drop Top Amber Ale, 4.9		
Yuengling Premium, 4.4
Yuengling Light, 3.8
Yuengling Ale, 5.0
Yuengling Porter, 4.5
Yuengling Lager, 4.4
Yuengling Black & Tan, 4.5
Yuengling Light Lager, 3.6
